zipcode,Average household size,Population 25 years and over,Population 25 years and over - Less than 9th grade,"Population 25 years and over - 9th to 12th grade, no diploma",Population 25 years and over - High school graduate,"Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or professional degree
15236,2.36,22266,413,539,7478,3879,2449,4725,2783
15237,2.29,31845,545,946,6463,4949,2406,9436,7100
15238,2.44,9670,167,209,1496,1175,611,2364,3648
15239,2.51,15179,183,549,4734,2669,1894,3443,1707
15241,2.69,14164,107,111,1768,1633,933,5058,4554
15243,2.22,10052,119,236,1965,1177,676,3216,2663
15321,2.36,1129,0,39,383,236,92,217,162
15332,2.23,6319,53,279,2912,899,701,1045,430
15642,2.46,32760,232,1125,10668,5614,3900,7582,3639
15668,2.42,9886,28,245,1938,1612,814,2852,2397
16046,2.62,10657,35,225,1850,1118,724,4112,2593
16056,2.16,3516,90,122,1434,591,451,553,275
16059,2.45,5876,42,148,1941,1050,362,1404,929
16066,2.71,20135,170,476,3652,2815,1553,7280,4189
16229,2.36,3612,55,147,1411,718,473,592,216
